Counting	Year	Month	Date	TimePeriod	Zone1	Zone	Species	Total	Adult	Juvenile	Male	Female	Distancefromroad	Directionfromroad	X_observed	Y_observed	X_estimated	Y_estimated	Notes
1	2012	3	25	Midday	A1	A1	Greater_Kudu	1	NA	NA	NA	NA	200	W	350406	658567	350206	658567	NA
1	2012	3	25	Midday	B1	B1	Burchells_Zebra	3	NA	NA	NA	NA	20	E	350406	658567	350426	658567	NA
1	2012	3	25	Midday	B1	B1	Grants_Gazelle	1	NA	NA	NA	NA	5	E	350406	658567	350411	658567	NA
1	2012	3	25	Midday	B1	B1	Burchells_Zebra	3	NA	NA	NA	NA	30	E	350017	658054	350047	658054	NA
1	2012	3	25	Midday	B2	B2	Grants_Gazelle	1	NA	NA	NA	NA	40	E	349660	657154	349700	657154	NA
1	2012	3	25	Midday	B2	B2	Burchells_Zebra	2	NA	NA	NA	NA	150	E	350379	656254	350529	656254	From here count to shrubs on ridge E of road
1	2012	3	25	Midday	A3	A3	Burchells_Zebra	18	NA	NA	NA	NA	100	W	350526	655378	350426	655378	NA
1	2012	3	25	Midday	B3	B3	Burchells_Zebra	5	NA	NA	NA	NA	15	E	350526	655378	350541	655378	NA
1	2012	3	25	Midday	A3	A3	Burchells_Zebra	6	NA	NA	NA	NA	250	W	350472	655241	350222	655241	NA
1	2012	3	25	Midday	A3	A3	Burchells_Zebra	5	NA	NA	NA	NA	250	W	350377	654987	350127	654987	NA
1	2012	3	25	Midday	B3	B3	Grants_Gazelle	1	NA	NA	NA	NA	50	E	350213	654053	350263	654053	NA
1	2012	3	25	Midday	A3	A3	Grants_Gazelle	1	NA	NA	NA	NA	400	W	350213	654053	349813	654053	NA
1	2012	3	25	Midday	A3	A3	Grants_Gazelle	3	NA	NA	NA	NA	80	W	350197	653605	350117	653605	NA
1	2012	3	25	Midday	B3	B3	Burchells_Zebra	10	NA	NA	NA	NA	1000	E	350245	653151	351245	653151	NA
1	2012	3	25	Midday	A3	A3	Grants_Gazelle	2	NA	NA	NA	NA	60	W	350245	653151	350185	653151	NA
1	2012	3	25	Midday	B4	B4	Burchells_Zebra	13	NA	NA	NA	NA	1000	E	350240	652938	351240	652938	From view of triangle WP count all inside road loop
1	2012	3	25	Midday	B4	B4	Burchells_Zebra	2	NA	NA	NA	NA	0	NA	350012	651489	350012	651489	NA
1	2012	3	25	Midday	S1	S1	Burchells_Zebra	1	NA	NA	NA	NA	25	S	350123	651298	350123	651323	S of triangle
1	2012	3	25	Midday	S1	S1	Burchells_Zebra	8	NA	NA	NA	NA	100	S	350174	651250	350174	651350	NA
1	2012	3	25	Midday	D4	D4	Burchells_Zebra	3	NA	NA	NA	NA	0	NA	350711	652093	350711	652093	Heading back
1	2012	3	25	Midday	C4	C4	Burchells_Zebra	2	NA	NA	NA	NA	80	W	350711	652093	350631	652093	NA
1	2012	3	25	Midday	C4	C4	Burchells_Zebra	6	NA	NA	NA	NA	80	W	350711	652093	350631	652093	NA
1	2012	3	25	Midday	D4	D4	Cattle	75	NA	NA	NA	NA	50	E	350711	652093	350761	652093	NA
1	2012	3	25	Midday	D4	D4	Burchells_Zebra	1	NA	NA	NA	NA	0	NA	351104	652625	351104	652625	NA
1	2012	3	25	Midday	C4	C4	Anubis_Baboon	17	NA	NA	NA	NA	220	W	351104	652625	350884	652625	NA
1	2012	3	25	Midday	D4	D4	Grants_Gazelle	1	NA	NA	NA	NA	2	E	351677	653520	351679	653520	NA
1	2012	3	25	Midday	D4	D4	Burchells_Zebra	5	NA	NA	NA	NA	500	E	351677	653520	352177	653520	NA
1	2012	3	25	Midday	D4	D4	Cattle	8	NA	NA	NA	NA	1000	E	351677	653520	352677	653520	NA
1	2012	3	25	Midday	D4	D4	Cattle	8	NA	NA	NA	NA	750	E	351831	653744	352581	653744	NA
1	2012	3	25	Midday	D4	D4	Burchells_Zebra	4	NA	NA	NA	NA	150	E	351831	653744	351981	653744	NA
1	2012	3	25	Midday	D4	D4	Cattle	11	NA	NA	NA	NA	3	E	351831	653744	351834	653744	NA
1	2012	3	25	Midday	C3	C3	Cattle	20	NA	NA	NA	NA	40	W	352011	654152	351971	654152	NA
1	2012	3	25	Midday	D3	D3	Burchells_Zebra	7	NA	NA	NA	NA	300	E	352011	654152	352311	654152	NA
1	2012	3	25	Midday	D3	D3	Pastoralist	5	NA	NA	NA	NA	200	E	352011	654152	352211	654152	NA
1	2012	3	25	Midday	D3	D3	Cattle	60	NA	NA	NA	NA	1200	E	352433	655092	353633	655092	NA
1	2012	3	25	Midday	C2	C2	Cutter_of_grass	1	NA	NA	NA	NA	700	W	352451	657014	351751	657014	NA
1	2012	3	25	Midday	C2	C2	Grants_Gazelle	2	NA	NA	NA	NA	40	W	352005	657847	352005	657887	N
1	2012	3	25	Midday	D2	D2	Grants_Gazelle	1	NA	NA	NA	NA	30	E	352005	657847	352005	657817	S
1	2012	3	25	Midday	D1	D1	Grants_Gazelle	1	NA	NA	NA	NA	300	E	352005	657847	352005	657547	S
1	2012	3	25	Midday	D1	D1	Burchells_Zebra	3	NA	NA	NA	NA	1500	E	352005	657847	352005	656347	S
1	2012	3	25	Midday	D1	D1	Burchells_Zebra	13	NA	NA	NA	NA	180	E	351440	658893	351440	658713	S
1	2012	3	25	Midday	C1	C1	Burchells_Zebra	4	NA	NA	NA	NA	1800	W	351440	658893	351440	660693	N
2	2012	10	26	Morning	C1	C1A	Burchells_Zebra	25	NA	NA	NA	NA	110	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	C1	C1A	Grants_Gazelle	3	NA	NA	NA	3	110	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	D1	D1A	Burchells_Zebra	38	32	6	NA	NA	110	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	C1	C1B	Greater_Kudu	4	3	1	1	3	150	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	C1	C1B	Burchells_Zebra	41	NA	NA	NA	NA	250	NA	NA	NA	NA	NA	NA
