"Transect" "Treatment" "Livestock.density" "Plot.name" "Replicate" "GrassNetBiomassSeason1" "DwarfShrubNetBiomassSeason1" "HerbNetBiomassSeason1" "ClimberNetBiomassSeason1" "GrassNetBiomassSeason2" "DwarfShrubNetBiomassSeason2" "HerbNetBiomassSeason2" "ClimberNetBiomassSeason2" "GrassNetBiomassSeason3" "DwarfShrubNetBiomassSeason3" "HerbNetBiomassSeason3" "ClimberNetBiomassSeason3" "TotalSeason1" "TotalSeason2" "TotalSeason3" "pairID" "Zone"
"1" 1 "Exclosure" "High" "B1Ex1P1" 1 86.6 16.7 0 0 136.2 1.4 0 0 75.1 0 0 0 103.3 137.6 75.1 "1 High" "D2"
"2" 1 "Exclosure" "High" "B1Ex1P2" 2 56.6 24.7 4 0 81.3 0 0 0 79.3 0 2.9 3.5 85.3 81.3 85.7 "1 High" "D2"
"3" 1 "Exclosure" "High" "B1Ex1P3" 3 74.6 3.4 24 0 181.7 0 1.5 0 73.7 62.5 0 0 102 183.2 136.2 "1 High" "D2"
"4" 1 "Exclosure" "High" "B1Ex1P4" 4 157.6 0 1.7 0.1 64.3 0 0 0 66.2 7.2 2.1 0 159.4 64.3 75.5 "1 High" "D2"
"5" 1 "Exclosure" "High" "B1Ex1P5" 5 63.6 0 0.3 0.6 64.5 5.5 0 0 69 0 0 3.4 64.5 70 72.4 "1 High" "D2"
"6" 1 "Rodent Exclosure" "High" "B1Ex1CEx01" 6 117.2 0 8.2 1.7 74.1 0 1.1 0 71.6 0 0 4 127.1 75.2 75.6 "1 High" "D2"
"7" 1 "Rodent Exclosure" "High" "B1Ex1CEx02" 7 78.2 4.3 2.6 0 82.1 0 1.1 0 86.6 0 0 0 85.1 83.2 86.6 "1 High" "D2"
"8" 1 "Enclosure" "High" "B1En1P1" 1 84.8 0 0 0 81.5 0 16 0 200.9 0 10.3 31.6 84.8 97.5 242.8 "1 High" "D2"
"9" 1 "Enclosure" "High" "B1En1P2" 2 25.7 0 0 0.8 78.8 0 0 0 80.1 0 3.5 12.2 26.5 78.8 95.8 "1 High" "D2"
"10" 1 "Enclosure" "High" "B1En1P3" 3 63.7 7.6 16.4 2 137.9 0 0 9.1 68.5 0 4.3 17.1 89.7 147 89.9 "1 High" "D2"
