Area_km2	Zone	Xcent	Ycent
1.607907	S1	350256.6996	650509.5518
0.785944	B4	350424.3665	652166.5207
0.750255	A4	349900.5559	652309.2564
3.504823	D4	351679.8961	652466.4862
1.341102	C4	351084.3761	653425.0053
3.065588	D3	353050.0311	654286.6067
1.897253	C3	351894.7742	655047.6147
1.556994	A3	350125.5894	654726.7673
2.135721	B3	350740.3727	654709.0941
0.318745	A2	349906.0126	656690.8489
1.150228	B2	350491.3451	656769.6074
2.332275	C2	351889.0671	656673.5783
1.578452	C1	351248.5494	658121.1089
1.439923	B1	350402.928	657978.1949
1.272156	A1	350192.3661	658786.6071
11.87988	D2	354088.2267	656557.8212
7.884861	D1	352336.74	659872.5605
