Transect	Treatment	Livestock density	Boma.density	Plot name	Block	Plot.pair	Trt.name	Replicate	Harvest	Harvest.date	Reharvest.date	GrassNetReharvestBiomass1	DwarfShrubNetReharvestBiomass1	HerbNetReharvestBiomass1	ClimberNetReharvestBiomass1	TotalBiomass1	GrassNetReharvestBiomass0	DwarfShrubNetReharvestBiomass0	HerbNetReharvestBiomass0	ClimberNetReharvestBiomass0	TotalBiomass0	rain.mm	min_distExclosures	boma_density	Total.cumulative.biomass
1	Exclosure	High	High	B1Ex1P1	B1	B1	B1Ex1	1	double		25.11.2012	86.6	16.7	0	0	103.3	86.6	16.7	0	0	103.3	81.00000072	3094.192813	2.93E-06	103.3
1	Exclosure	High	High	B1Ex1P2	B1	B1	B1Ex1	2	double		25.11.2012	56.6	24.7	4	0	85.3	56.6	24.7	4	0	85.3	81.00000072	3094.192813	2.93E-06	85.3
1	Exclosure	High	High	B1Ex1P3	B1	B1	B1Ex1	3	double		25.11.2012	74.6	3.4	24	0	102	74.6	3.4	24	0	102	81.00000072	3094.192813	2.93E-06	102
1	Exclosure	High	High	B1Ex1P4	B1	B1	B1Ex1	4	double		25.11.2012	157.6	0	1.7	0.1	159.4	157.6	0	1.7	0.1	159.4	81.00000072	3094.192813	2.93E-06	159.4
1	Exclosure	High	High	B1Ex1P5	B1	B1	B1Ex1	5	double		25.11.2012	63.6	0	0.3	0.6	64.5	63.6	0	0.3	0.6	64.5	81.00000072	3094.192813	2.93E-06	64.5
1	Rodent Exclosure	High	High	B1Ex1CEx01	B1	B1	B1Ex1	6	double		25.11.2012	117.2	0	8.2	1.7	127.1	117.2	0	8.2	1.7	127.1		3094.192813	2.93E-06	127.1
1	Rodent Exclosure	High	High	B1Ex1CEx02	B1	B1	B1Ex1	7	double		25.11.2012	78.2	4.3	2.6	0	85.1	78.2	4.3	2.6	0	85.1		3094.192813	2.93E-06	85.1
1	Enclosure	High	High	B1En1P1	B1	B1	B1En1	1	double		25.11.2012	84.8	0	0	0	84.8	84.8	0	0	0	84.8		2692.794339	3.09E-06	84.8
1	Enclosure	High	High	B1En1P2	B1	B1	B1En1	2	double		25.11.2012	25.7	0	0	0.8	26.5	25.7	0	0	0.8	26.5		2692.794339	3.09E-06	26.5
1	Enclosure	High	High	B1En1P3	B1	B1	B1En1	3	double		25.11.2012	63.7	7.6	16.4	2	89.7	63.7	7.6	16.4	2	89.7		2692.794339	3.09E-06	89.7
1	Enclosure	High	High	B1En1P4	B1	B1	B1En1	4	double		25.11.2012	149.6	9.3	0	0	158.9	149.6	9.3	0	0	158.9		2692.794339	3.09E-06	158.9
