Species,Abbr
Abutilon figarianum webb,Abu.fig
Acacia mellifera (Vahl) Benth.,Aca.mel
Aerva lanata (L.) Juss. Ex Schultes,Aer.lan
Alysicarpus glumaceus (Vahl) DC.,Aly.glu
Aristida kenyensis Henr.,Ari.ken
Aspilia mossambicensis (Oliv.) Wild,Asp.mos
Barleria homoiotricha C B. Clarke,Bar.hom
Bothriochloa insculpta (Hochst. Ex A. Rich.) A. Camus,Bot.ins
Brachiaria deflexa (Schumach. ) Robyns,Bra.def
Cenchrus ciliaris L.,Cen.cil
Chamaecrista mimosoides (L.) Greene,Cha.mim
Chloris virgata Sw.,Chl.vir
Chrysopogon plumulosus Hochst.,Chr.plu
Commelina forskaolii Vahl,Com.for
Commelina schweinfurthii C.B. Clarke,Com.sch
Commicarpus pedunculosus (A. Rich.) Cufod.,Com.ped
Convolvulus sp.,Con.spp
Corchorus tridens L.,Cor.trd
Corchorus trilocularis L.,Cor.trl
Crotalaria pycnostachya Benth.,Cro.pyc
Cyathula orthacantha (Aschers.) Schin,Cya.ort
Cynodon nlemfuensis Vanderyst,Cyn.nle
Cyperus bulbosus Vahl,Cyp.bul
Dichrostachys cinerea Wight et Arn,Dig.cin
Digitaria macroblephara (Hack.) Stapf,Dig.mac
Digixa like,Dig.spp
Dyschoriste radicans Nees,Dys.rad
Eragrostis tremula Hochst. Ex Steud.,Era.tre
Flueggea virosa (Wild.) Voigt,Flu.vir
Fuerstia africana TCF. Fr. ,Fue.afr
Heteropogon contortus (L.) Roem. & Schult.,Het.con
Hybanthus enneaspermus (L.) F. Muell.,Hyb.enn
Hyparrhenia hirta (L.) Stapf,Hyp.hir
Hypoestes forskaolii (Vahl) R. Br.,Hyp.for
Indigofera schimperi Jaub. & Spach.,Ind.sch
Ischaemum afrum (JF. GmeL.) Dandy,Isc.afr
Justicia matammensis (Schweinf) Oliv.,Jus.mat
Lintonia nutans Stapf,Lin.nut
Monechma debile (Forssk.) Nees,Mon.deb
Oxygonum sinuatum (Meisn.) Dammer,Oxy.sin
Panicum porphyrrhizos Steud.,Pan.por
Pentanisia ouranogyne S. Moore,Pen.our
Phyllanthus maderaspatensis L.,Phy.mad
Phyllanthus pseudoniruri Muell. Arg.,Phy.pse
Plectranthus punctatus (L.f.) LHer.,Ple.pun
Polygala erioptera DC.,Pol.eri
Polygala sphenoptera Fresen,Pol.sph
Portulaca quadrifida L.,Por.qua
Rhynchosia minima (L.) DC.,Rhy.min
Priva curtisiae Kobuski,Pri.cur
Ruellia linearibracteolata Lindau,Rue.lin
Scrambling herb,Scr.spp
Sehima nervosum (Rottler) Stapf,She.ner
Setaria incrassata (Hochst.) Wild,Set.inc
Sida alba L. ,Sid.alb
Solanum incanum L.,Sol.inc
Sporobolus pyramidalis P. Beauv.,Spo.pyr
Tephrosia sp.,Tep.spp
Tetrapogon villosus Desj,Tet.vill
Themeda triandra Forssk.,The.tri
Thunbergia ruspolii Lindau,Thu.rus
Triumfetta flavescens Hochst.,Tri.fla
unidentified herb,Her.spp
Vigna membranaceae A. Rich.,Vig.mem
Ximenia americana L.,Xim.ame
