XCoord	YCoord	OBJECTID	PLOT	GRADIENT	LIVESTOCK_DENSITY	PLOTPAIR	X	Y	RASTERVALU	CORE	
352666.2	657108.5	1	1Ha	1	H	A	352666.2	657108.5	1878.297119	M	
352631.2	657161.5	2	1Hb	1	H	B	352631.2	657161.5	1932.045532	M	
350378	658601.8	3	1La	1	L	A	350378	658601.8	4204.759277	C	
350319.5	658613.5	4	1Lb	1	L	B	350319.5	658613.5	4243.960449	C	
352131.8	657234.2	5	1Ma	1	M	A	352131.8	657234.2	2256.01416	C	
352084	657261.2	6	1Mb	1	M	B	352084	657261.2	2312.05542	C	
352853.8	655072.2	7	2Ha	2	H	A	352853.8	655072.2	734.302368	P	
352814	655102.8	8	2Hb	2	H	B	352814	655102.8	751.531799	P	
351008.2	656241.8	9	2La	2	L	A	351008.2	656241.8	2605.8396	C	
350970.8	656320	10	2Lb	2	L	B	350970.8	656320	2669.232178	C	
352171.8	655467.2	11	2Ma	2	M	A	352171.8	655467.2	1320.605957	M	
352214.8	655440.2	12	2Mb	2	M	B	352214.8	655440.2	1280	M	
351708.5	652971.5	13	3Ha	3	H	A	351708.5	652971.5	557.135559	P	
351760.2	652977.5	14	3Hb	3	H	B	351760.2	652977.5	590.592896	P	
350072.5	654391	15	3La	3	L	A	350072.5	654391	2008.780762	M	
350088.8	654326	16	3Lb	3	L	B	350088.8	654326	1922.082153	M	
351222.5	653459.5	17	3Ma	3	M	A	351222.5	653459.5	1038.460449	P	
351271.2	653499.8	18	3Mb	3	M	B	351271.2	653499.8	1067.33313	P	
