"Transect.x"	"Treatment.x"	"Livestock.density.x"	"Boma.density.x"	"Plot.name"	"Block.x"	"Plot.pair.x"	"Trt.name.x"	"Replicate.x"	"Harvest"	"Harvest.date.x"	"Reharvest.date"	"GrassNetReharvestBiomass1.x"	"DwarfShrubNetReharvestBiomass1.x"	"HerbNetReharvestBiomass1.x"	"ClimberNetReharvestBiomass1.x"	"TotalBiomass1.x"	"GrassNetReharvestBiomass0.x"	"DwarfShrubNetReharvestBiomass0.x"	"HerbNetReharvestBiomass0.x"	"ClimberNetReharvestBiomass0.x"	"TotalBiomass0.x"	"rain.mm"	"min_distExclosures.x"	"boma_density.x"	"Trt.name.y"	"Transect.y"	"Treatment.y"	"Livestock.density.y"	"Boma.density.y"	"Block.y"	"Plot.pair.y"	"Replicate.y"	"Harvest.date.y"	"GrassNetReharvestBiomass1.y"	"DwarfShrubNetReharvestBiomass1.y"	"HerbNetReharvestBiomass1.y"	"ClimberNetReharvestBiomass1.y"	"TotalBiomass1.y"	"GrassNetReharvestBiomass0.y"	"DwarfShrubNetReharvestBiomass0.y"	"HerbNetReharvestBiomass0.y"	"ClimberNetReharvestBiomass0.y"	"TotalBiomass0.y"	"min_distExclosures.y"	"boma_density.y"	"X"	"Y"	"nearest_in_set2"	"fX"
1	"Exclosure"	"High"	"High"	"B1Ex1P1"	"B1"	"B1"	"B1Ex1"	1	"double"	""	"25.11.2012"	86.6	16.7	0	0	103.3	86.6	16.7	0	0	103.3	81.00000072	3094.192813	2.93e-06	"B1Ex1"	1	"Exclosure"	"High"	"High"	"B1"	"B1"	1	""	86.6	16.7	0	0	103.3	86.6	16.7	0	0	103.3	3094.19281346409	2.92553540750063e-06	352629	657160	10	"B8"
1	"Exclosure"	"High"	"High"	"B1Ex1P2"	"B1"	"B1"	"B1Ex1"	2	"double"	""	"25.11.2012"	56.6	24.7	4	0	85.3	56.6	24.7	4	0	85.3	81.00000072	3094.192813	2.93e-06	"B1Ex1"	1	"Exclosure"	"High"	"High"	"B1"	"B1"	2	""	56.6	24.7	4	0	85.3	56.6	24.7	4	0	85.3	3094.19281346409	2.92553540750063e-06	352629	657160	10	"B8"
1	"Exclosure"	"High"	"High"	"B1Ex1P3"	"B1"	"B1"	"B1Ex1"	3	"double"	""	"25.11.2012"	74.6	3.4	24	0	102	74.6	3.4	24	0	102	81.00000072	3094.192813	2.93e-06	"B1Ex1"	1	"Exclosure"	"High"	"High"	"B1"	"B1"	3	""	74.6	3.4	24	0	102	74.6	3.4	24	0	102	3094.19281346409	2.92553540750063e-06	352629	657160	10	"B8"
1	"Exclosure"	"High"	"High"	"B1Ex1P4"	"B1"	"B1"	"B1Ex1"	4	"double"	""	"25.11.2012"	157.6	0	1.7	0.1	159.4	157.6	0	1.7	0.1	159.4	81.00000072	3094.192813	2.93e-06	"B1Ex1"	1	"Exclosure"	"High"	"High"	"B1"	"B1"	4	""	157.6	0	1.7	0.1	159.4	157.6	0	1.7	0.1	159.4	3094.19281346409	2.92553540750063e-06	352629	657160	10	"B8"
1	"Exclosure"	"High"	"High"	"B1Ex1P5"	"B1"	"B1"	"B1Ex1"	5	"double"	""	"25.11.2012"	63.6	0	0.3	0.6	64.5	63.6	0	0.3	0.6	64.5	81.00000072	3094.192813	2.93e-06	"B1Ex1"	1	"Exclosure"	"High"	"High"	"B1"	"B1"	5	""	63.6	0	0.3	0.6	64.5	63.6	0	0.3	0.6	64.5	3094.19281346409	2.92553540750063e-06	352629	657160	10	"B8"
1	"Control"	"High"	"High"	"B1Ex1Cp1P1"	"B1"	"B1"	"B1Ex1"	1	"double"	""	"25.11.2012"	128.1	7.1	0	0	135.2	128.1	7.1	0	0	135.2	81.00000072	3094.192813	2.93e-06	"B1Ex1"	1	"Control"	"High"	"High"	"B1"	"B1"	1	""	128.1	7.1	0	0	135.2	128.1	7.1	0	0	135.2	3094.19281346409	2.92553540750063e-06	352629	657160	10	"B8"
1	"Control"	"High"	"High"	"B1Ex1Cp1P2"	"B1"	"B1"	"B1Ex1"	2	"double"	""	"25.11.2012"	91.6	7	0	0	98.6	91.6	7	0	0	98.6	81.00000072	3094.192813	2.93e-06	"B1Ex1"	1	"Control"	"High"	"High"	"B1"	"B1"	2	""	91.6	7	0	0	98.6	91.6	7	0	0	98.6	3094.19281346409	2.92553540750063e-06	352629	657160	10	"B8"
1	"Control"	"High"	"High"	"B1Ex1Cp1P3"	"B1"	"B1"	"B1Ex1"	3	"double"	""	"25.11.2012"	86.1	0	0	0	86.1	86.1	0	0	0	86.1	81.00000072	3094.192813	2.93e-06	"B1Ex1"	1	"Control"	"High"	"High"	"B1"	"B1"	3	""	86.1	0	0	0	86.1	86.1	0	0	0	86.1	3094.19281346409	2.92553540750063e-06	352629	657160	10	"B8"
1	"Control"	"High"	"High"	"B1Ex1Cp1P4"	"B1"	"B1"	"B1Ex1"	4	"double"	""	"25.11.2012"	94.6	16.5	2.1	0	113.2	94.6	16.5	2.1	0	113.2	81.00000072	3094.192813	2.93e-06	"B1Ex1"	1	"Control"	"High"	"High"	"B1"	"B1"	4	""	94.6	16.5	2.1	0	113.2	94.6	16.5	2.1	0	113.2	3094.19281346409	2.92553540750063e-06	352629	657160	10	"B8"
1	"Control"	"High"	"High"	"B1Ex1Cp1P5"	"B1"	"B1"	"B1Ex1"	5	"double"	""	"25.11.2012"	61.7	5.3	2.8	0	69.8	61.7	5.3	2.8	0	69.8	81.00000072	3094.192813	2.93e-06	"B1Ex1"	1	"Control"	"High"	"High"	"B1"	"B1"	5	""	61.7	5.3	2.8	0	69.8	61.7	5.3	2.8	0	69.8	3094.19281346409	2.92553540750063e-06	352629	657160	10	"B8"
1	"Exclosure"	"Medium"	"High"	"B1Ex2P1"	"B1"	"B2"	"B1Ex2"	1	"double"	""	"25.11.2012"	175.6	0	0	0	175.6	175.6	0	0	0	175.6	81.00000072	3645.220522	2.35e-06	"B1Ex2"	1	"Exclosure"	"Medium"	"High"	"B1"	"B2"	1	""	175.6	0	0	0	175.6	175.6	0	0	0	175.6	3645.22052230114	2.35215215926105e-06	352085	657284	10	"B6"
1	"Exclosure"	"Medium"	"High"	"B1Ex2P2"	"B1"	"B2"	"B1Ex2"	2	"double"	""	"25.11.2012"	194.6	0	0	0	194.6	194.6	0	0	0	194.6	81.00000072	3645.220522	2.35e-06	"B1Ex2"	1	"Exclosure"	"Medium"	"High"	"B1"	"B2"	2	""	194.6	0	0	0	194.6	194.6	0	0	0	194.6	3645.22052230114	2.35215215926105e-06	352085	657284	10	"B6"
1	"Exclosure"	"Medium"	"High"	"B1Ex2P3"	"B1"	"B2"	"B1Ex2"	3	"double"	""	"25.11.2012"	267.1	12.2	1.1	0	280.4	267.1	12.2	1.1	0	280.4	81.00000072	3645.220522	2.35e-06	"B1Ex2"	1	"Exclosure"	"Medium"	"High"	"B1"	"B2"	3	""	267.1	12.2	1.1	0	280.4	267.1	12.2	1.1	0	280.4	3645.22052230114	2.35215215926105e-06	352085	657284	10	"B6"
1	"Exclosure"	"Medium"	"High"	"B1Ex2P4"	"B1"	"B2"	"B1Ex2"	4	"double"	""	"25.11.2012"	231.2	3.4	1.2	0	235.8	231.2	3.4	1.2	0	235.8	81.00000072	3645.220522	2.35e-06	"B1Ex2"	1	"Exclosure"	"Medium"	"High"	"B1"	"B2"	4	""	231.2	3.4	1.2	0	235.8	231.2	3.4	1.2	0	235.8	3645.22052230114	2.35215215926105e-06	352085	657284	10	"B6"
1	"Exclosure"	"Medium"	"High"	"B1Ex2P5"	"B1"	"B2"	"B1Ex2"	5	"double"	""	"25.11.2012"	215.8	0	0	0	215.8	215.8	0	0	0	215.8	81.00000072	3645.220522	2.35e-06	"B1Ex2"	1	"Exclosure"	"Medium"	"High"	"B1"	"B2"	5	""	215.8	0	0	0	215.8	215.8	0	0	0	215.8	3645.22052230114	2.35215215926105e-06	352085	657284	10	"B6"
1	"Control"	"Medium"	"High"	"B1Ex2Cp1P1"	"B1"	"B2"	"B1Ex2"	1	"double"	""	"25.11.2012"	171.7	5.7	0	0	177.4	171.7	5.7	0	0	177.4	81.00000072	3645.220522	2.35e-06	"B1Ex2"	1	"Control"	"Medium"	"High"	"B1"	"B2"	1	""	171.7	5.7	0	0	177.4	171.7	5.7	0	0	177.4	3645.22052230114	2.35215215926105e-06	352085	657284	10	"B6"
1	"Control"	"Medium"	"High"	"B1Ex2Cp1P2"	"B1"	"B2"	"B1Ex2"	2	"double"	""	"25.11.2012"	101.1	5.9	0	0	107	101.1	5.9	0	0	107	81.00000072	3645.220522	2.35e-06	"B1Ex2"	1	"Control"	"Medium"	"High"	"B1"	"B2"	2	""	101.1	5.9	0	0	107	101.1	5.9	0	0	107	3645.22052230114	2.35215215926105e-06	352085	657284	10	"B6"
1	"Control"	"Medium"	"High"	"B1Ex2Cp1P3"	"B1"	"B2"	"B1Ex2"	3	"double"	""	"25.11.2012"	113.7	0	9.4	0	123.1	113.7	0	9.4	0	123.1	81.00000072	3645.220522	2.35e-06	"B1Ex2"	1	"Control"	"Medium"	"High"	"B1"	"B2"	3	""	113.7	0	9.4	0	123.1	113.7	0	9.4	0	123.1	3645.22052230114	2.35215215926105e-06	352085	657284	10	"B6"
