Counting,Year,Month,Date,TimePeriod,Zone1,Zone,Species,Total,Bio,MetBio,Distancefromroad,Directionfromroad,X_observed,Y_observed,X_estimated,Y_estimated,Notes,date
1,2012,3,25,Midday,A1,A1,Burchells_Zebra,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,A2,A2,Burchells_Zebra,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,A3,A3,Burchells_Zebra,18,3870,2902.5,100,W,350526,655378,350426,655378,,25.3.2012
1,2012,3,25,Midday,A3,A3,Burchells_Zebra,6,1290,967.5,250,W,350472,655241,350222,655241,,25.3.2012
1,2012,3,25,Midday,A3,A3,Burchells_Zebra,5,1075,806.25,250,W,350377,654987,350127,654987,,25.3.2012
1,2012,3,25,Midday,A3,A3,Burchells_Zebra,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,A4,A4,Burchells_Zebra,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,B1,B1,Burchells_Zebra,3,645,483.75,20,E,350406,658567,350426,658567,,25.3.2012
1,2012,3,25,Midday,B1,B1,Burchells_Zebra,3,645,483.75,30,E,350017,658054,350047,658054,,25.3.2012
1,2012,3,25,Midday,B2,B2,Burchells_Zebra,2,430,322.5,150,E,350379,656254,350529,656254,From here count to shrubs on ridge E of road,25.3.2012
1,2012,3,25,Midday,B3,B3,Burchells_Zebra,5,1075,806.25,15,E,350526,655378,350541,655378,,25.3.2012
1,2012,3,25,Midday,B3,B3,Burchells_Zebra,10,2150,1612.5,1000,E,350245,653151,351245,653151,,25.3.2012
1,2012,3,25,Midday,B4,B4,Burchells_Zebra,13,2795,2096.25,1000,E,350240,652938,351240,652938,From view of triangle WP count all inside road loop,25.3.2012
1,2012,3,25,Midday,B4,B4,Burchells_Zebra,2,430,322.5,0,,350012,651489,350012,651489,,25.3.2012
1,2012,3,25,Midday,C1,C1,Burchells_Zebra,4,860,645,1800,W,351440,658893,351440,660693,N,25.3.2012
1,2012,3,25,Midday,C2,C2,Burchells_Zebra,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,C3,C3,Burchells_Zebra,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,C4,C4,Burchells_Zebra,2,430,322.5,80,W,350711,652093,350631,652093,,25.3.2012
1,2012,3,25,Midday,C4,C4,Burchells_Zebra,6,1290,967.5,80,W,350711,652093,350631,652093,,25.3.2012
1,2012,3,25,Midday,D1,D1,Burchells_Zebra,3,645,483.75,1500,E,352005,657847,352005,656347,S,25.3.2012
1,2012,3,25,Midday,D1,D1,Burchells_Zebra,13,2795,2096.25,180,E,351440,658893,351440,658713,S,25.3.2012
1,2012,3,25,Midday,D2,D2,Burchells_Zebra,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,D3,D3,Burchells_Zebra,7,1505,1128.75,300,E,352011,654152,352311,654152,,25.3.2012
1,2012,3,25,Midday,D4,D4,Burchells_Zebra,3,645,483.75,0,,350711,652093,350711,652093,Heading back,25.3.2012
1,2012,3,25,Midday,D4,D4,Burchells_Zebra,1,215,161.25,0,,351104,652625,351104,652625,,25.3.2012
