Zone	Area_km2	Xcent	Ycent	Anubis_Baboon	Burchells_Zebra	Cattle	Cutter_of_grass	Grants_Gazelle	Greater_Kudu	Pastoralist	Swaynes_Hartebeest	Burchells_ZebraBio	Burchells_ZebraMetBio	Burchells_ZebraTLU	CattleBio	CattleMetBio	CattleTLU	Grants_GazelleBio	Grants_GazelleMetBio	Grants_GazelleTLU	Greater_KuduBio	Greater_KuduMetBio	Greater_KuduTLU	Swaynes_HartebeestBio	Swaynes_HartebeestMetBio	Swaynes_HartebeestTLU
A1	1.272156	350192.4	658786.6	0	11.00493965	0	0	0.393033559	0.982583897	0	0	2377.066963	340.4325377	5.414720647	0	0	0	19.65167794	9.333611685	0.148454963	196.5167794	52.48675564	0.834823608	0	0	0
A2	0.318745	349906	656690.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3	1.556994	350125.6	654726.8	0	11.23960658	0	0	1.76622389	2.408487123	0	0	2427.75502	345.8626348	5.501088593	0	0	0	88.31119452	28.8079145	0.458201823	481.6974247	102.8207443	1.635406565	0	0	0
A4	0.750255	349900.6	652309.3	0	11.99592139	0	0	1.999320231	0.333220039	0	0	2591.11902	363.1746458	5.776443305	0	0	0	99.96601156	31.61471519	0.502845152	66.6440077	23.3249558	0.370993092	0	0	0
B1	1.439923	350402.9	657978.2	0	5.729473034	0	0	0.173620395	1.38896316	0	0	1237.566175	208.6538119	3.31872538	0	0	0	8.681019749	5.05740878	0.080440183	277.792632	68.04411061	1.082269789	0	0	0
B2	1.150228	350491.3	656769.6	0	5.433705318	0	0	0.217348213	0	0	0	1173.680349	200.5221603	3.189388091	0	0	0	10.86741064	5.985419004	0.095200571	0	0	0	0	0	0
B3	2.135721	350740.4	654709.1	0	13.22738316	0	0	0.351169465	0.585282441	0	0	2857.114764	390.7920894	6.215710195	0	0	0	17.55847323	8.57758563	0.136430055	117.0564882	35.58742935	0.566032818	0	0	0
B4	0.785944	350424.4	652166.5	0	44.21434606	0	0	3.180888206	0	0	0	9550.298749	966.0791694	15.3658897	0	0	0	159.0444103	44.78564236	0.712334209	0	0	0	0	0	0
C1	1.578452	351248.5	658121.1	0.791915117	14.57123815	0	0	1.267064187	0.791915117	0	0	3147.38744	420.2063931	6.68355689	0	0	0	63.35320935	22.45569315	0.357167109	158.3830234	44.64588864	0.710111368	0	0	0
C2	2.332275	351889.1	656673.6	0	4.502041998	0	0.107191476	0.321574428	0	0	0	972.4410715	174.1395709	2.769762069	0	0	0	16.07872142	8.029502414	0.127712565	0	0	0	0	0	0
C3	1.897253	351894.8	655047.6	0	0.527077833	2.635389165	0	0.79061675	0	0	0	113.8488119	34.85349844	0.554359342	658.8472913	130.0434772	2.068395418	39.53083748	15.76529172	0.250753501	0	0	0	0	0	0
C4	1.341102	351084.4	653425	3.169035614	2.236966316	0	0	0.745655439	0	0	0.745655439	483.1847242	103.0587562	1.639192243	0	0	0	37.28277193	15.08798159	0.239980602	0	0	0	127.50708	37.94466519	0.603525631
D1	7.884861	352336.7	659872.6	0	2.02920508	0	0	0.063412659	0	0	0	438.3082974	95.79321938	1.523630868	0	0	0	3.170632938	2.376071336	0.0377924	0	0	0	0	0	0
D2	11.87988	354088.2	656557.8	0	2.50423405	0	0	0.399835689	0.105219918	0	0	540.9145547	112.1621952	1.783986214	0	0	0	19.99178443	9.454502263	0.150377778	21.04398361	9.825303312	0.156275523	0	0	0
D3	3.065588	353050	654286.6	0	15.57613091	4.893025416	0	1.875659743	0	0.407752118	0	3364.444276	441.7585917	7.026353543	1223.256354	206.8417056	3.289903079	93.78298715	30.1365162	0.479333784	0	0	0	0	0	0
D4	3.504823	351679.9	652466.5	0	3.923165307	7.275688387	0	2.139908349	0	0	0	847.4037063	157.060787	2.498116931	1818.922097	278.5226856	4.430018784	106.9954175	33.26778477	0.529137909	0	0	0	0	0	0
S1	1.607907	350256.7	650509.6	7.152154944	4.04252236	0	0	0.777408146	0	0	0	873.1848297	160.6311011	2.554904257	0	0	0	38.87040731	15.5673367	0.247604944	0	0	0	0	0	0
