Zone	Date	Area_km2	Xcent	Ycent	Burchells_Zebra	Cattle	Grants_Gazelle	Greater_Kudu	Swaynes_Hartebeest	Burchells_ZebraMetBio	CattleMetBio	Grants_GazelleMetBio	Greater_KuduMetBio	Swaynes_HartebeestMetBio	Total_Met
A1	25.3.2012	1.272156	350192.4	658786.6	0	0	0	0.196516779	0	0	0	0	15.69720121	0	15.69720121
A2	25.3.2012	0.318745	349906	656690.8	0	0	0	0	0	0	0	0	0	0	0
A3	25.3.2012	1.556994	350125.6	654726.8	4.656408438	0	0.963394849	0	0	178.5988319	0	18.28440125	0	0	196.8832331
A4	25.3.2012	0.750255	349900.6	652309.3	0	0	0	0	0	0	0	0	0	0	0
B1	25.3.2012	1.439923	350402.9	657978.2	1.04172237	0	0.173620395	0	0	58.09708014	0	5.05740878	0	0	63.15448892
B2	25.3.2012	1.150228	350491.3	656769.6	0.434696425	0	0.217348213	0	0	30.16337025	0	5.985419004	0	0	36.14878926
B3	25.3.2012	2.135721	350740.4	654709.1	1.755847323	0	0.117056488	0	0	85.94198407	0	3.762912514	0	0	89.70489659
B4	25.3.2012	0.785944	350424.4	652166.5	4.771332309	0	0	0	0	181.8947072	0	0	0	0	181.8947072
C1	25.3.2012	1.578452	351248.5	658121.1	0.633532093	0	0	0	0	40.00983668	0	0	0	0	40.00983668
C2	25.3.2012	2.332275	351889.1	656673.6	0	0	0.214382952	0	0	0	0	5.924070097	0	0	5.924070097
C3	25.3.2012	1.897253	351894.8	655047.6	0	2.635389165	0	0	0	0	110.0033887	0	0	0	110.0033887
C4	25.3.2012	1.341102	351084.4	653425	1.491310877	0	0	0	0	76.03550811	0	0	0	0	76.03550811
D1	25.3.2012	7.884861	352336.7	659872.6	0.50730127	0	0.031706329	0	0	33.86801751	0	1.412820469	0	0	35.28083798
D2	25.3.2012	11.87988	354088.2	656557.8	0	0	0.021043984	0	0	0	0	1.038899338	0	0	1.038899338
D3	25.3.2012	3.065588	353050	654286.6	0.570852965	4.893025416	0	0	0	37.00270807	174.9667805	0	0	0	211.9694885
D4	25.3.2012	3.504823	351679.9	652466.5	0.927293618	7.275688387	0.071330278	0	0	53.2418658	235.6015072	2.595272364	0	0	291.4386454
S1	25.3.2012	1.607907	350256.7	650509.6	1.399334663	0	0	0	0	72.49056881	0	0	0	0	72.49056881
A1	26.10.2012	1.272156	350192.4	658786.6	0.786067118	0	0	0	0	47.03650402	0	0	0	0	47.03650402
A2	26.10.2012	0.318745	349906	656690.8	0	0	0	0	0	0	0	0	0	0	0
A3	26.10.2012	1.556994	350125.6	654726.8	0	0	0	0	0	0	0	0	0	0	0
A4	26.10.2012	0.750255	349900.6	652309.3	0	0	0	0.333220039	0	0	0	0	23.3249558	0	23.3249558
B1	26.10.2012	1.439923	350402.9	657978.2	0	0	0	0	0	0	0	0	0	0	0
B2	26.10.2012	1.150228	350491.3	656769.6	0	0	0	0	0	0	0	0	0	0	0
B3	26.10.2012	2.135721	350740.4	654709.1	0	0	0	0.117056488	0	0	0	0	10.64312382	0	10.64312382
B4	26.10.2012	0.785944	350424.4	652166.5	0	0	1.590444103	0	0	0	0	26.62970227	0	0	26.62970227
C1	26.10.2012	1.578452	351248.5	658121.1	10.45327954	0	1.108681164	0.791915117	0	327.5516087	0	20.3157334	44.64588864	0	392.5132307
C2	26.10.2012	2.332275	351889.1	656673.6	3.966084617	0	0	0	0	158.3477129	0	0	0	0	158.3477129
C3	26.10.2012	1.897253	351894.8	655047.6	0.527077833	0	0.131769458	0	0	34.85349844	0	4.112335829	0	0	38.96583427
C4	26.10.2012	1.341102	351084.4	653425	0.745655439	0	0	0	0.745655439	45.21098362	0	0	0	37.94466519	83.15564881
D1	26.10.2012	7.884861	352336.7	659872.6	1.52190381	0	0.031706329	0	0	77.20238491	0	1.412820469	0	0	78.61520538
D2	26.10.2012	11.87988	354088.2	656557.8	1.978134459	0	0.315659754	0.105219918	0	93.97929217	0	7.918481633	9.825303312	0	111.7230771
D3	26.10.2012	3.065588	353050	654286.6	15.00527794	0	1.467907625	0	0	429.5595182	0	25.07561239	0	0	454.6351306
D4	26.10.2012	3.504823	351679.9	652466.5	2.639220297	0	0.570642226	0	0	116.6667353	0	12.34526544	0	0	129.0120008
S1	26.10.2012	1.607907	350256.7	650509.6	2.643187697	0	0.777408146	0	0	116.7982448	0	15.5673367	0	0	132.3655815
A1	8.2.2013	1.272156	350192.4	658786.6	0.589550338	0	0.196516779	0.196516779	0	37.90800969	0	5.549798712	15.69720121	0	59.15500962
A2	8.2.2013	0.318745	349906	656690.8	0	0	0	0	0	0	0	0	0	0	0
A3	8.2.2013	1.556994	350125.6	654726.8	4.335276822	0	0.321131616	2.408487123	0	169.2789431	0	8.021208443	102.8207443	0	280.1208958
A4	8.2.2013	0.750255	349900.6	652309.3	1.666100193	0	0	0	0	82.62588977	0	0	0	0	82.62588977
B1	8.2.2013	1.439923	350402.9	657978.2	3.993269085	0	0	1.38896316	0	159.1610316	0	0	68.04411061	0	227.2051422
B2	8.2.2013	1.150228	350491.3	656769.6	2.173482127	0	0	0	0	100.8573071	0	0	0	0	100.8573071
B3	8.2.2013	2.135721	350740.4	654709.1	5.618711433	0	0	0.468225953	0	205.6211858	0	0	30.10330011	0	235.7244859
B4	8.2.2013	0.785944	350424.4	652166.5	7.952220514	0	0	0	0	266.8127777	0	0	0	0	266.8127777
C1	8.2.2013	1.578452	351248.5	658121.1	0	0	0	0	0	0	0	0	0	0	0
C2	8.2.2013	2.332275	351889.1	656673.6	0	0	0	0	0	0	0	0	0	0	0
C3	8.2.2013	1.897253	351894.8	655047.6	0	0	0	0	0	0	0	0	0	0	0
C4	8.2.2013	1.341102	351084.4	653425	0	0	0	0	0	0	0	0	0	0	0
D1	8.2.2013	7.884861	352336.7	659872.6	0	0	0	0	0	0	0	0	0	0	0
D2	8.2.2013	11.87988	354088.2	656557.8	0	0	0	0	0	0	0	0	0	0	0
D3	8.2.2013	3.065588	353050	654286.6	0	0	0	0	0	0	0	0	0	0	0
D4	8.2.2013	3.504823	351679.9	652466.5	0	0	0.356651392	0	0	0	0	8.677816161	0	0	8.677816161
S1	8.2.2013	1.607907	350256.7	650509.6	0	0	0	0	0	0	0	0	0	0	0
A1	9.2.2013	1.272156	350192.4	658786.6	9.62932219	0	0.196516779	0.589550338	0	307.9903448	0	5.549798712	35.78188094	0	349.3220244
A2	9.2.2013	0.318745	349906	656690.8	0	0	0	0	0	0	0	0	0	0	0
A3	9.2.2013	1.556994	350125.6	654726.8	2.247921315	0	0.481697425	0	0	103.4370539	0	10.87197003	0	0	114.3090239
A4	9.2.2013	0.750255	349900.6	652309.3	10.32982119	0	1.999320231	0	0	324.6458955	0	31.61471519	0	0	356.2606107
B1	9.2.2013	1.439923	350402.9	657978.2	0.69448158	0	0	0	0	42.86332545	0	0	0	0	42.86332545
B2	9.2.2013	1.150228	350491.3	656769.6	2.825526765	0	0	0	0	122.7905324	0	0	0	0	122.7905324
B3	9.2.2013	2.135721	350740.4	654709.1	5.852824409	0	0.234112976	0	0	212.0139487	0	6.328439288	0	0	218.3423879
B4	9.2.2013	0.785944	350424.4	652166.5	31.49079324	0	1.590444103	0	0	748.9934395	0	26.62970227	0	0	775.6231418
C1	9.2.2013	1.578452	351248.5	658121.1	3.484426514	0	0.158383023	0	0	143.6940534	0	4.720727968	0	0	148.4147813
C2	9.2.2013	2.332275	351889.1	656673.6	0.535957381	0	0.107191476	0	0	35.29295361	0	3.522473155	0	0	38.81542677
C3	9.2.2013	1.897253	351894.8	655047.6	0	0	0.658847291	0	0	0	0	13.75042358	0	0	13.75042358
C4	9.2.2013	1.341102	351084.4	653425	0	0	0.745655439	0	0	0	0	15.08798159	0	0	15.08798159
D1	9.2.2013	7.884861	352336.7	659872.6	0	0	0	0	0	0	0	0	0	0	0
D2	9.2.2013	11.87988	354088.2	656557.8	0.52609959	0	0.063131951	0	0	34.80497178	0	2.368178372	0	0	37.17315016
D3	9.2.2013	3.065588	353050	654286.6	0	0	0.407752118	0	0	0	0	9.59455137	0	0	9.59455137
D4	9.2.2013	3.504823	351679.9	652466.5	0.356651392	0	1.141284453	0	0	26.002988	0	20.76217891	0	0	46.76516691
S1	9.2.2013	1.607907	350256.7	650509.6	0	0	0	0	0	0	0	0	0	0	0
